client_id,investment_date,asset_class,investment_amount,return_pct,investment_value
C00913,2008-07-23,Real Estate,1873326.05,-0.4759,981810.18
C02007,2013-01-02,Bonds,780816.61,0.2395,967822.19
C00840,2023-03-06,Mutual Funds,291359.98,0.2195,355313.5
C00713,2021-03-30,Crypto,3540654.82,0.5853,5613000.09
C00261,2008-09-01,Stocks,103901.89,-0.2104,82040.93
C01792,2013-03-20,Mutual Funds,917839.14,-0.1826,750241.71
C04932,2008-08-05,Mutual Funds,1521906.97,-1.2263,-344407.55
C01629,2024-01-22,Mutual Funds,1456854.47,0.5552,2265700.07
C03437,2012-12-10,Crypto,3059652.62,-0.134,2649659.17
C04828,2014-03-28,Stocks,1832442.85,-0.2912,1298835.49
C01308,2023-08-29,Crypto,2280893.85,-0.2347,1745568.06
C02788,2014-03-26,Bonds,2571657.96,0.3789,3546059.16
C01764,2015-07-20,Stocks,2962480.43,0.1411,3380486.42
C00760,2016-07-09,Stocks,853450.09,-0.1777,701792.01
C02941,2015-09-18,Mutual Funds,326192.91,-0.2201,254397.85
C02167,2008-12-21,Crypto,489262.9,0.5537,760167.77
C04393,2010-10-19,Crypto,3421480.9,-0.4308,1947506.93
C00646,2020-05-19,Real Estate,2476389.37,-0.0009,2474160.62
C02963,2020-12-12,Bonds,172908.22,-0.0347,166908.3
C00570,2009-01-10,Bonds,3312948.9,0.2747,4223015.96
C02371,2009-10-15,Bonds,1559243.67,1.4692,3850084.47
C00828,2016-07-10,Real Estate,925087.42,0.6768,1551186.59
C03715,2022-04-04,Real Estate,4847953.55,0.1893,5765671.16
C01333,2016-04-20,Real Estate,4609449.3,0.5209,7010511.44
C01717,2023-01-12,Real Estate,443374.02,-0.4245,255161.75
C00585,2021-08-30,Bonds,1357473.81,-0.7116,391495.45
C04376,2024-05-09,Bonds,4143858.81,-0.5933,1685307.38
C01339,2018-05-14,Crypto,2713937.72,-0.3603,1736105.96
C02212,2022-05-09,Mutual Funds,705480.2,0.3711,967283.9
C01800,2023-05-10,Real Estate,3645306.83,0.5239,5555083.08
C00459,2013-02-19,Stocks,3856580.46,-0.0236,3765565.16
C02585,2016-12-30,Real Estate,580229.43,-0.2317,445790.27
C00543,2012-09-24,Mutual Funds,4315654.03,-0.6741,1406471.65
C02578,2012-10-07,Crypto,318728.19,0.6298,519463.2
C03242,2022-06-02,Crypto,1555600.63,0.6699,2597697.49
C01171,2013-12-09,Bonds,3188149.8,-0.3691,2011403.71
C02021,2024-09-15,Mutual Funds,4436176.5,-0.4389,2489138.63
C04416,2013-11-22,Mutual Funds,3566510.69,0.0421,3716660.79
C03510,2021-02-01,Crypto,3804164.46,0.8277,6952871.38
C02966,2012-12-01,Bonds,2469484.19,0.2491,3084632.7
C04175,2019-01-25,Stocks,2614141.41,-0.1193,2302274.34
C00386,2010-06-17,Bonds,540349.24,0.0496,567150.56
C01311,2023-04-06,Crypto,158114.5,-0.6294,58597.23
C04886,2009-06-04,Crypto,2543344.89,0.6012,4072403.84
C03127,2021-05-13,Crypto,4537924.8,-0.1872,3688425.28
C04335,2013-08-21,Mutual Funds,3778000.14,-0.6675,1256185.05
C00095,2023-04-04,Stocks,1144762.03,-0.0261,1114883.74
C04399,2024-11-03,Real Estate,806945.21,-0.1334,699298.72
C02787,2010-07-02,Real Estate,4648558.56,0.3307,6185836.88
C03562,2011-07-19,Crypto,4357431.49,0.6591,7229414.59
C00027,2024-03-12,Real Estate,4018556.71,0.7659,7096369.29
C04101,2012-01-03,Mutual Funds,4480560.41,0.1678,5232398.45
C00872,2022-01-09,Real Estate,1590699.37,-0.0483,1513868.59
C04159,2021-08-28,Bonds,2136111.84,-0.1039,1914169.82
C01253,2016-05-21,Bonds,4090255.81,-1.2476,-1012747.34
C04419,2019-11-23,Stocks,1111316.94,0.2528,1392257.86
C04907,2015-04-09,Crypto,600206.97,0.3065,784170.41
C00160,2010-07-05,Real Estate,1616691.46,-0.003,1611841.39
C02520,2013-05-15,Stocks,2594434.32,-0.3915,1578713.28
C01974,2020-09-21,Stocks,4858938.63,0.782,8658628.64
C00702,2024-05-31,Crypto,4812274.03,0.0707,5152501.8
C00567,2019-12-12,Bonds,1505090.67,-0.7568,366038.05
